agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
04071100 4971.757193149887 4497.444971567447 3920.867741940374 0 4599.347167830797 0
05051100 3654.6872006015774 3314.3477919322313 0 0 3284.5032748056606 0
06051100 0 3400.0011921056903 2938.399407492244 3606.2722395107917 0 3255.792956334015
06061100 3349.056219006652 3843.065009215779 3151.185598394701 3432.834605333822 3542.5600407682023 0
06071100 0 0 3481.3360650964414 3797.7314980410506 3609.107560588661 3607.9074356184624
06081100 3682.9261131471208 4358.057119611426 3566.1957417848207 3824.8695253876763 3638.993968887911 3648.7935514347446
07081100 3617.0689647253157 4635.17077278278 4066.3766937780624 4516.170422381842 4610.78202488817 5249.559752208551
07071100 3491.4845729318604 0 3644.07007467072 4810.304503600044 4063.886895137105 4197.73700848009
07061100 0 3707.5194468023997 3449.623883427755 4256.207331364332 3651.012908360256 3865.0353956311483
07051100 0 3340.0589974761456 3121.1271144498646 3679.213884394325 3488.1744085792116 0
07041100 0 3101.7739139423084 2258.1776077821946 3379.7098285475035 0 3122.869340990039
07031100 2722.6047031451194 2228.5613583822437 1798.0393327502352 0 2034.8802826364092 1898.3274145733812
07021100 1239.158046393031 -0.9999999998007438 1356.3959161881187 2154.5079645811147 0 1560.85189302744
06031100 0 0 1553.6399173908171 3144.060690089396 0 0
06041100 0 0 2725.314001619966 3236.9074347456462 2851.4078072139796 3018.985449004247
06021100 0 1746.3939778283868 1191.9883649573553 0 0 1441.9850446356918
06011100 830.5120711443285 1364.8540815610168 1049.4275164624692 1284.6815990032974 0 773.4449327684308
07011100 1199.7135617587448 0 0 1930.248351172202 0 0
08021100 0 0 -0.9999999999999996 0 -0.9999999999999996 0.0
08011100 0 0 0 -0.9999999999999996 0 0
01080100 4225.956930105295 4428.181491329672 4023.538512258347 3955.1989255079516 4184.980506706067 4226.007526912021
01070100 4094.460570340045 4264.862005441749 2747.405347629802 3964.268760190057 3993.113751054246 4035.218049605411
04080101 5486.764887297981 0 99.99999999999994 0 0 0
04070101 0 0 0 0 0 0
01021000 850.9195750759454 897.6404776339393 517.6376058995033 1199.0852094654028 919.2875417862396 812.2010955319771
04041000 1881.1188551659984 1641.570893095533 1342.0360125806596 2209.8846738471407 1856.081004789754 1554.4206852362288
04051000 3261.4119678578804 1793.2965006995619 1557.6436250796828 2997.290608188486 2671.700183543239 2540.0514843647393
04061000 3555.386090163853 3286.3624010122044 2606.794632588483 3683.4589964698866 2909.075938332003 3060.541962196773
04071000 4157.5189900218975 3518.1729491072424 2632.0117653528478 4271.294347256414 3220.4478165295886 3441.636518076344
03061000 3199.425505120635 3067.6949632433752 3213.4700611665908 3978.29678114278 3678.9882706313347 3457.298338356092
03071000 3667.015728531795 3884.0030094866324 3682.897231138628 4812.2198891833905 3981.147235855351 4429.021937944009
05051000 2404.9417889029955 1493.8780255795548 1956.9925412711677 1771.620342332116 1689.3678848757845 1920.6217858507664
06051000 1958.5224645174071 921.147835443144 1055.885381097376 892.9017718030449 1434.5474522558413 1492.7521516890422
06061000 687.0931837767637 737.1357227640349 1287.4348605174853 597.2053830156756 816.6687699364559 725.7864487174214
06041000 1193.5928406324645 520.2598413801143 508.6046748297316 1445.909756415468 1044.1476777890696 1047.1363701455582
06031000 741.6337177704116 501.16542824382424 454.31403734043744 1083.166060141616 766.4332887152113 711.5026158719909
06021000 499.25932522133917 352.3333061237012 314.0536498594115 690.398038740829 370.1727333716062 368.8648888226938
06011000 294.7943850470268 179.9700799242798 287.64039132403985 474.81110870422583 326.7457607506524 265.29753835079407
06071000 598.3849854289722 473.47151554537544 862.0965572569777 442.56414673587716 568.9142899706321 533.7996802919846
