agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
0207000 29766.615965636243 29825.210781608275 30229.15829458721 29865.898525171102 29965.73757127543 29996.549326931254
0208000 29789.619887596906 29787.184807902835 30112.895457468738 29695.127060059345 29870.299479092613 29823.965808136265
0209000 29355.61437943325 29625.315949666627 29861.485453423433 29190.132694687924 29566.387875572873 29633.381321230343
0109000 29483.832630993933 29565.146265158335 29734.68786081262 29182.99211547913 29433.550251095952 29424.400876893927
0110000 29298.80662499698 29263.442240219374 29570.829970690786 29344.703875076913 29280.194006420275 29293.379467357187
0210000 29310.26442660771 29279.01007563146 29524.680688162673 29235.251085101798 29234.817325988155 29286.99232808787
0106000 29786.938228295206 30110.406546550214 29888.484142739235 29669.68968054964 29848.13171332667 29736.383955302656
0105000 29914.453925863952 30243.988089000264 29953.557446151335 29730.854966122748 29892.935816069436 29987.309582063404
0205000 29888.579087452916 30125.445197070796 30449.6077064653 30059.154819845266 30150.451178593114 30217.234016197242
0206000 29851.42788263017 29984.676516582513 30342.148684977677 29944.946590143965 30068.101944423663 30055.49026910458
0204000 29895.167809570296 30325.408978253417 30541.47207464839 30218.413275165567 30171.855353531362 30280.10564432177
0307000 29945.300395015456 29535.167319414562 29952.17838824181 29699.82689916697 29794.349355716866 29817.487828479712
0306000 30174.956538433926 29577.90306879596 29907.223959567484 29714.388534865284 29949.613432434213 29904.727715783494
0407000 29746.330349140422 29197.496850759446 29674.961935500578 29374.8115132933 29393.2766052803 29383.21108775845
0507000 29512.825969255813 29193.447687473472 29377.8743623441 29207.644948357192 29267.506887370375 29246.822604605404
0506000 29674.445488894697 29329.129923371762 29204.461861970525 29183.621595246415 29463.023792495875 29384.970580394744
0406000 29932.774117536024 29376.498145403293 29392.91724095031 29499.76794764544 29645.959669326112 29709.903032717448
0505000 29401.102911044465 28719.93600760927 28742.611393934494 29480.947285926184 29199.702712137674 29246.277028059136
0405000 29303.023494811587 29120.377270243836 29053.006237393325 29643.52773289123 29377.344804372537 29333.19334428611
0104000 29970.51800514383 30239.751463932742 30060.57818101876 29787.36907407608 29995.015917331784 30015.285858257434
0203000 30065.12800335731 30222.717702503025 30649.6506169619 30143.162082698243 30382.745216091178 30428.537245477673
0103000 30060.46135509196 30331.57094706677 30093.486461487042 29957.028648969695 30091.435568877696 30110.3212250848
0404000 29126.324609048246 28929.40239153282 29025.142840525325 29277.097985343284 29044.75244175039 29027.00699072339
0504000 28975.92232176587 28706.36554212717 28832.330119505576 29213.016664235394 28897.823775084224 28842.892906071924
0604000 28721.099966611015 28362.28804029516 28682.795013676416 29082.693256648723 28669.7897518909 28691.14360112801
0605000 29294.47743683643 28613.761964056255 28801.22104114028 29040.800383153794 29035.167816630223 28866.306515069526
