<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Down)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Down)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Down)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Down, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Down, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Down, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Down, Nothing)>
<(1, 0, 3), (9, 0, 10), , [1, 0], (Down, Nothing)>
<(1, 0, 3), (9, 0, 10), , [1, 0], (Down, Nothing)>
<(1, 0, 3), (9, 0, 10), , [1, 0], (Down, Down)>
<(1, 0, 3), (9, 0, 10), , [1, 0], (Down, Down)>
<(1, 0, 3), (9, 0, 9), , [1, 0], (Down, Down)>
<(1, 0, 3), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 3), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 3), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Down)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Down)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Down)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 2), (9, 0, 9), , [1, 0], (Down, Nothing)>
<(1, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(1, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(1, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(1, 0, 1), (9, 0, 9), , [1, 0], (Right, Down)>
<(1, 0, 1), (9, 0, 9), , [1, 0], (Right, Down)>
<(1, 0, 1), (9, 0, 9), , [1, 0], (Right, Down)>
<(2, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(2, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(2, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(2, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(2, 0, 1), (9, 0, 9), , [1, 0], (Right, Nothing)>
<(2, 0, 1), (9, 0, 9), , [1, 0], (Right, Down)>
<(2, 0, 1), (9, 0, 8), , [1, 0], (Right, Down)>
<(3, 0, 1), (9, 0, 8), , [1, 0], (Right, Down)>
<(3, 0, 1), (9, 0, 8), , [1, 0], (Right, Nothing)>
<(3, 0, 1), (9, 0, 8), , [1, 0], (Right, Nothing)>
<(3, 0, 1), (9, 0, 8), , [1, 0], (Right, Nothing)>
<(3, 0, 1), (9, 0, 8), , [1, 0], (Right, Nothing)>
